gid;versienr;kaartnr;datering;uitvoering;ulxw;ulyw;urxw;uryw;llxw;llyw;lrxw;lryw;ulxi;ulyi;urxi;uryi;llxi;llyi;lrxi;lryi;imgfn;breedte;hoogte;kleuren
107;107;F6;1942;Druk in zwart;-34025;21750;-31650;21750;-34025;19875;-31650;19875;400;10301;12913;10285;402;419;12920;417;B00000025363;13336;10649;zwart
124;124;G4;1944-1950;Druk in zwart en blauw;-38775;19875;-36400;19875;-38775;18000;-36400;18000;416;9231;11595;9242;425;391;11603;423;B00000025380;12029;9576;zwart,blauw
126;126;G5;1942;Druk in zwart (oliecalque);-36400;19875;-34025;19875;-36400;18000;-34025;18000;;;;;;;;;B00000025382;;;zwart (oliecalque)
149;149;H2;1953;Druk in zwart, blauw, groen, bruin en grijs;-43525;18000;-41150;18000;-43525;16125;-41150;16125;474;9316;11685;9298;474;472;11687;467;B00000025405;12145;9730;zwart,blauw,groen,twee tinten bruin
150;150;H3;1950;Druk in zwart en blauw;-41150;18000;-38775;18000;-41150;16125;-38775;16125;401;9269;11611;9278;421;423;11634;439;B00000025406;12015;9605;zwart,blauw
152;152;H4;1949;Lichtdruk. Geannoteerd;-38775;18000;-36400;18000;-38775;16125;-36400;16125;289;9149;11510;9132;274;290;11491;308;B00000025408;11794;9411;lichtdruk
163;163;J4;1950;Druk in zwart en blauw;-38775;16125;-36400;16125;-38775;14250;-36400;14250;334;9205;11554;9210;351;356;11570;367;B00000025419;11900;9570;zwart,blauw
23;23;B7;1944;Druk in zwart en blauw;-31650;29250;-29275;29250;-31650;27375;-29275;27375;466;10310;12911;10274;451;479;12877;456;B00000025280;13304;10703;zwart,blauw
132;132;G5;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin;-36400;19875;-34025;19875;-36400;18000;-34025;18000;441;9273;11641;9274;451;442;11645;460;B00000025388;12092;9703;zwart,blauw,groen,twee tinten bruin
138;138;G6;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin;-34025;19875;-31650;19875;-34025;18000;-31650;18000;435;9271;11630;9281;450;432;11642;459;B00000025394;12065;9667;zwart,blauw,groen,twee tinten bruin
153;153;H4;1949;Lichtdruk. Geannoteerd;-38775;18000;-36400;18000;-38775;16125;-36400;16125;339;9287;11553;9313;354;387;11562;427;B00000025409;11916;9779;lichtdruk
68;68;D7;1942-1956;Druk in zwart, blauw, groen en twee tinten bruin;-31650;25500;-29275;25500;-31650;23625;-29275;23625;505;10329;12980;10337;515;497;12989;519;B00000025325;13502;10835;zwart,blauw,groen,twee tinten bruin
131;131;G5;1942-1953;Druk in zwart en blauw;-36400;19875;-34025;19875;-36400;18000;-34025;18000;486;9273;11688;9263;485;444;11683;449;B00000025387;12144;9719;zwart,blauw
61;61;D6;1941-1945;Druk in zwart en blauw;-34025;25500;-31650;25500;-34025;23625;-31650;23625;438;9256;11659;9270;469;414;11685;440;B00000025318;12106;9651;zwart,blauw (+ groen,twee tinten bruin)
10;10;B4;1944-1954;Druk in zwart, blauw, groen en twee tinten bruin;-38775;29250;-36400;29250;-38775;27375;-36400;27375;556;10358;13000;10333;540;533;12986;521;B00000025267;13513;10881;zwart,blauw,groen,twee tinten bruin
62;62;D6;1941-1945;Druk in zwart, blauw, groen en twee tinten bruin;-34025;25500;-31650;25500;-34025;23625;-31650;23625;448;10243;12939;10220;454;421;12919;420;B00000025319;13353;10702;zwart,blauw,groen,twee tinten bruin
40;40;C6;1942;Druk in zwart en blauw;-34025;27375;-31650;27375;-34025;25500;-31650;25500;442;10245;12874;10246;451;476;12896;481;B00000025297;13319;10637;zwart,blauw
47;47;C8;1944;Lichtdruk;-29275;27375;-26900;27375;-29275;25500;-26900;25500;102;10262;12630;10237;88;399;12604;381;B00000025304;13044;10643;lichtdruk
60;60;D6;1941;Druk in zwart en blauw;-34025;25500;-31650;25500;-34025;23625;-31650;23625;471;10281;12905;10280;486;457;12914;471;B00000025317;13368;10654;zwart,blauw
63;63;D6;1945-1955;Druk in zwart;-34025;25500;-31650;25500;-34025;23625;-31650;23625;448;10274;12942;10261;448;450;12941;445;B00000025320;13385;10720;zwart
67;67;D7;1942-1956;Druk in zwart;-31650;25500;-29275;25500;-31650;23625;-29275;23625;484;10286;12957;10326;520;444;12990;498;B00000025324;13433;10784;zwart
69;69;D8;1942;Druk in zwart en blauw;-29275;25500;-26900;25500;-29275;23625;-26900;23625;442;10267;12827;10288;467;449;12847;484;B00000025326;13255;10735;zwart,blauw
71;71;D8;1954;Druk in zwart;-29275;25500;-26900;25500;-29275;23625;-26900;23625;586;10340;13027;10362;610;558;13035;585;B00000025328;13579;10817;zwart
108;108;F6;1942;Druk in zwart en blauw;-34025;21750;-31650;21750;-34025;19875;-31650;19875;498;10296;12902;10268;479;474;12893;459;B00000025364;13353;10686;zwart,blauw
113;113;F7;1940;Lichtdruk;-31650;21750;-29275;21750;-31650;19875;-29275;19875;391;9454;11648;9434;369;587;11626;582;B00000025369;12103;9975;lichtdruk
114;114;F7;1943;Druk in zwart en blauw;-31650;21750;-29275;21750;-31650;19875;-29275;19875;447;9258;11590;9263;456;431;11596;442;B00000025370;12026;9615;zwart,blauw
129;129;G5;1942;Druk in zwart, blauw, groen en twee tinten bruin. Geannoteerd;-36400;19875;-34025;19875;-36400;18000;-34025;18000;408;9234;11592;9233;406;397;11589;411;B00000025385;12005;9664;zwart,blauw,groen,twee tinten bruin
130;130;G5;1942-1953;Druk in zwart (oliecalque);-36400;19875;-34025;19875;-36400;18000;-34025;18000;449;9284;11651;9301;466;442;11666;473;B00000025386;12093;9730;zwart (oliecalque)
8;8;B4;1944-1954;Druk in zwart en blauw;-38775;29250;-36400;29250;-38775;27375;-36400;27375;536;10365;12983;10376;546;543;12994;562;B00000025265;13495;10799;zwart,blauw
9;9;B4;1944-1954;Druk in zwart, groen en bruin;-38775;29250;-36400;29250;-38775;27375;-36400;27375;555;10315;13001;10273;527;490;12971;460;B00000025266;13576;10719;zwart,groen,bruin
117;117;F8;1943;Druk in zwart en blauw;-29275;21750;-26900;21750;-29275;19875;-26900;19875;416;9290;11569;9253;401;452;11547;430;B00000025373;11992;9650;zwart,blauw
164;164;J4;1950;Druk in zwart, blauw, groen en twee tinten bruin;-38775;16125;-36400;16125;-38775;14250;-36400;14250;353;9185;11563;9174;358;333;11567;336;B00000025420;11887;9500;zwart,blauw,groen,twee tinten bruin
122;122;G4;1944;Druk in zwart, blauw, groen en twee tinten bruin;-38775;19875;-36400;19875;-38775;18000;-36400;18000;398;9224;11592;9179;366;396;11539;367;B00000025378;11951;9615;zwart,blauw,groen,twee tinten bruin
41;41;C6;1942;Druk in zwart, blauw, groen en twee tinten bruin;-34025;27375;-31650;27375;-34025;25500;-31650;25500;429;10230;12869;10243;452;457;12894;475;B00000025298;13319;10622;zwart,blauw,groen,twee tinten bruin
109;109;F6;1942;Druk in zwart, blauw, groen en twee tinten bruin;-34025;21750;-31650;21750;-34025;19875;-31650;19875;435;10273;12847;10219;399;451;12815;414;B00000025365;13288;10751;zwart,blauw,groen,twee tinten bruin
118;118;F8;1943;Druk in zwart, blauw, groen en twee tinten bruin;-29275;21750;-26900;21750;-29275;19875;-26900;19875;440;9254;11594;9261;453;415;11604;436;B00000025374;12041;9641;zwart,blauw,groen,twee tinten bruin
140;140;G7;1943;Druk in zwart, blauw, groen en twee tinten bruin;-31650;19875;-29275;19875;-31650;18000;-29275;18000;464;9293;11617;9296;479;456;11625;478;B00000025396;12077;9679;zwart,blauw,groen,twee tinten bruin
155;155;H4;1950;Druk in zwart, blauw, groen en twee tinten bruin;-38775;18000;-36400;18000;-38775;16125;-36400;16125;313;9222;11518;9235;312;372;11523;399;B00000025411;11883;9570;zwart,blauw,groen,twee tinten bruin
46;46;C7;1943-1955;Druk in zwart en blauw;-31650;27375;-29275;27375;-31650;25500;-29275;25500;529;10345;12975;10329;519;531;12965;531;B00000025303;13497;10864;zwart,blauw
64;64;D6;1945-1955;Druk in zwart en blauw;-34025;25500;-31650;25500;-34025;23625;-31650;23625;569;10363;13062;10331;550;546;13046;515;B00000025321;13576;10895;zwart,blauw
78;78;E5;1941;Druk in zwart, blauw, groen, oranje en twee tinten bruin;-36400;23625;-34025;23625;-36400;21750;-34025;21750;368;9208;11443;9211;369;439;11420;441;B00000008520;11888;9719;zwart,blauw,groen,twee tinten bruin
105;105;F5;1954;Druk in zwart, blauw, groen en twee tinten bruin;-36400;21750;-34025;21750;-36400;19875;-34025;19875;517;10341;12978;10326;510;509;12973;508;B00000025361;13481;10849;zwart,blauw,groen,twee tinten bruin
116;116;F7;1943;Druk in zwart, blauw, groen en twee tinten bruin. Geannoteerd;-31650;21750;-29275;21750;-31650;19875;-29275;19875;433;9253;11579;9246;426;424;11569;427;B00000025372;12002;9705;zwart,blauw,groen,twee tinten bruin
159;159;J3;1950;Druk in zwart;-41150;16125;-38775;16125;-41150;14250;-38775;14250;306;9178;11508;9218;348;335;11544;382;B00000025415;11848;9553;zwart
160;160;J3;1950;Druk in zwart en blauw;-41150;16125;-38775;16125;-41150;14250;-38775;14250;345;9220;11545;9214;353;374;11551;379;B00000025416;11883;9553;zwart,blauw
161;161;J3;1950;Druk in zwart, blauw, groen en twee tinten bruin;-41150;16125;-38775;16125;-41150;14250;-38775;14250;370;9220;11563;9187;354;376;11549;355;B00000025417;11887;9553;zwart,blauw,groen,twee tinten bruin
35;35;C5;1942;Druk in zwart, blauw, groen en twee tinten bruin;-36400;27375;-34025;27375;-36400;25500;-34025;25500;438;10224;12871;10232;452;454;12882;469;B00000025292;13287;10622;zwart,blauw,groen,twee tinten bruin
88;88;E7;1942;Druk in zwart, blauw, groen en twee tinten bruin;-31650;23625;-29275;23625;-31650;21750;-29275;21750;504;10227;12934;10221;512;455;12951;461;B00000025344;13433;10637;zwart,blauw,groen,twee tinten bruin
115;115;F7;1943;Druk in zwart, blauw, groen en twee tinten bruin;-31650;21750;-29275;21750;-31650;19875;-29275;19875;443;9279;11590;9249;418;449;11567;427;B00000025371;12002;9680;zwart,blauw,groen,twee tinten bruin
139;139;G7;1943;Druk in zwart en blauw;-31650;19875;-29275;19875;-31650;18000;-29275;18000;437;9306;11598;9271;430;467;11581;452;B00000025395;12067;9677;zwart,blauw
56;56;D5;1941;Druk in zwart en blauw;-36400;25500;-34025;25500;-36400;23625;-34025;23625;443;10225;12879;10279;492;400;12923;464;B00000025313;13416;10622;zwart,blauw
57;57;D5;1941-1949;Druk in zwart en blauw;-36400;25500;-34025;25500;-36400;23625;-34025;23625;497;10273;12936;10264;501;469;12922;474;B00000025314;13401;10670;zwart,blauw
58;58;D5;1941-1956;Druk in zwart;-36400;25500;-34025;25500;-36400;23625;-34025;23625;466;10260;12883;10378;515;460;12935;529;B00000025315;13417;10766;zwart
59;59;D5;1941-1956;Druk in zwart en blauw;-36400;25500;-34025;25500;-36400;23625;-34025;23625;503;10264;12925;10272;509;470;12936;488;B00000025316;13416;10752;zwart,blauw
81;81;E6;1941;Druk in zwart en blauw;-34025;23625;-31650;23625;-34025;21750;-31650;21750;422;10254;12861;10254;433;429;12863;443;B00000025337;13353;10606;zwart,blauw
97;97;F4;1943;Druk in zwart en blauw;-38775;21750;-36400;21750;-38775;19875;-36400;19875;452;10270;12861;10238;433;449;12846;432;B00000025353;13302;10637;zwart,blauw
