gid;versienr;kaartnr;datering;uitvoering;ulxw;ulyw;urxw;uryw;llxw;llyw;lrxw;lryw;ulxi;ulyi;urxi;uryi;llxi;llyi;lrxi;lryi;imgfn;breedte;hoogte;kleuren
144;144;H1;1954;Druk in zwart;-44900;18000;-43525;18000;-44900;16125;-43525;16125;441;9242;11636;9264;476;438;11639;467;B00000025400;12118;9693;zwart
145;145;H1;1954;Druk in zwart en blauw;-44900;18000;-43525;18000;-44900;16125;-43525;16125;489;9340;11680;9332;492;501;11666;503;B00000025401;12157;9712;zwart,blauw
147;147;H2;1953;Druk in zwart;-43525;18000;-41150;18000;-43525;16125;-41150;16125;495;9301;11706;9306;510;456;11725;476;B00000025403;12181;9745;zwart
148;148;H2;1953;Druk in zwart, blauw en grijs;-43525;18000;-41150;18000;-43525;16125;-41150;16125;495;9273;11705;9279;513;435;11726;452;B00000025404;12197;9680;zwart,blauw
156;156;J2;1954;Druk in zwart;-43525;16125;-41150;16125;-43525;14250;-41150;14250;387;9199;11601;9206;405;388;11604;404;B00000025412;12039;9605;zwart
79;79;E5;1941-1956;Druk in zwart;-36400;23625;-34025;23625;-36400;21750;-34025;21750;485;10334;12937;10332;493;494;12939;507;B00000025335;13416;10832;zwart
84;84;E6;1941-1946;Druk in zwart, blauw, groen en drie tinten bruin en rose. Geannoteerd;-34025;23625;-31650;23625;-34025;21750;-31650;21750;422;10260;12851;10288;449;458;12856;487;B00000025340;13302;10719;zwart,blauw,groen,twee tinten bruin
85;85;E6;1941-1954;Druk in zwart en blauw;-34025;23625;-31650;23625;-34025;21750;-31650;21750;529;10293;13006;10270;514;516;12979;505;B00000025341;13479;10703;zwart,blauw
86;86;E6;1941-1954;Druk in zwart, blauw, groen en twee tinten bruin;-34025;23625;-31650;23625;-34025;21750;-31650;21750;512;10274;12985;10263;502;492;12970;490;B00000025342;13465;10768;zwart,blauw,groen,twee tinten bruin
83;83;E6;1941-1946;Druk in zwart, blauw, groen en twee tinten bruin;-34025;23625;-31650;23625;-34025;21750;-31650;21750;446;10258;12909;10271;472;441;12908;465;B00000025339;13321;10688;zwart,blauw,groen,twee tinten bruin
128;128;G5;1942;Druk in zwart, blauw, groen en twee tinten bruin;-36400;19875;-34025;19875;-36400;18000;-34025;18000;407;9252;11588;9246;402;414;11580;419;B00000025384;11990;9687;zwart,blauw,groen,twee tinten bruin
133;133;G6;1942;Druk in zwart (oliecalque);-34025;19875;-31650;19875;-34025;18000;-31650;18000;360;9364;11743;9368;367;381;11746;401;B00000025389;12141;9694;zwart (oliecalque)`
134;134;G6;1942;Druk in zwart en blauw;-34025;19875;-31650;19875;-34025;18000;-31650;18000;415;9232;11585;9254;437;393;11602;430;B00000025390;12041;9638;zwart,blauw
135;135;G6;1942;Druk in zwart, blauw, groen en twee tinten bruin;-34025;19875;-31650;19875;-34025;18000;-31650;18000;394;9286;11575;9284;396;442;11571;453;B00000025391;12029;9763;zwart,blauw,groen,twee tinten bruin
136;136;G6;1942-1953;Druk in zwart;-34025;19875;-31650;19875;-34025;18000;-31650;18000;452;9249;11654;9261;470;439;11662;467;B00000025392;12118;9715;zwart
137;137;G6;1942-1953;Druk in zwart en blauw;-34025;19875;-31650;19875;-34025;18000;-31650;18000;507;9315;11708;9328;518;472;11723;497;B00000025393;12208;9756;zwart,blauw
11;11;B5;1942;Druk in zwart en blauw;-36400;29250;-34025;29250;-36400;27375;-34025;27375;439;10235;12834;10227;446;409;12844;423;B00000025268;13255;10588;zwart,blauw
22;22;B6;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin;-34025;29250;-31650;29250;-34025;27375;-31650;27375;517;10307;12921;10280;494;499;12904;478;B00000025279;13417;10735;zwart,blauw,groen,twee tinten bruin
37;37;C5;1942-1953;Druk in zwart en blauw;-36400;27375;-34025;27375;-36400;25500;-34025;25500;538;10331;12980;10327;535;518;12990;533;B00000025294;13514;10751;zwart,blauw
38;38;C5;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin;-36400;27375;-34025;27375;-36400;25500;-34025;25500;477;10317;12923;10347;503;502;12957;545;B00000025295;13434;10848;zwart,blauw,groen,twee tinten bruin
70;70;D8;1942;Druk in zwart, blauw, groen en twee tinten bruin;-29275;25500;-26900;25500;-29275;23625;-26900;23625;448;10274;12828;10259;443;454;12825;456;B00000025327;13239;10719;zwart,blauw,groen,twee tinten bruin
72;72;D8;1954;Druk in zwart. Geannoteerd;-29275;25500;-26900;25500;-29275;23625;-26900;23625;561;10300;12988;10348;599;522;13026;583;B00000025329;13546;10881;zwart
